seed,reg_lambda,reg_alpha,mcs,train_ic,oos_ic,ic_gap,ic_gap_ratio,oos_ic_ir
1,0.5,1.0,30,0.2932174488366504,0.11682154985740145,0.17639589897924896,0.6015873191691194,5.424901864141026
1,0.5,1.0,50,0.2732031966414086,0.11580544038831024,0.15739775625309832,0.5761197459914421,6.93197196987507
1,0.5,1.0,65,0.2641816569457488,0.1152998280918192,0.1488818288539296,0.5635585398894796,16.10672776625327
1,0.5,1.0,80,0.24815656362983646,0.11883237266997,0.12932419095986647,0.5211395139754326,13.836145832733008
1,0.5,1.5,30,0.29722608991491173,0.11906428017662722,0.1781618097382845,0.599415111201334,7.050879763365966
1,0.5,1.5,50,0.2742513372419443,0.11281895709036978,0.16143238015157452,0.5886293272989915,7.826218611436922
1,0.5,1.5,65,0.2635451853354144,0.11845215222300873,0.14509303311240565,0.5505432889155062,11.905522445693457
1,0.5,1.5,80,0.2493206720337861,0.12389119223379512,0.12542947979999097,0.5030849579251643,14.160320244082788
1,1.0,0.2,30,0.28935183545892773,0.11786110276424151,0.17149073269468623,0.5926720057700433,7.880990155774063
1,1.0,0.2,50,0.27122788268973186,0.11522162672329524,0.15600625596643664,0.5751851705633756,8.225054065823509
1,1.0,0.2,65,0.26580065660036184,0.11516230154717362,0.15063835505318823,0.5667343225554062,11.187450729743693
1,1.0,0.2,80,0.2443907816666065,0.11781575487915867,0.1265750267874478,0.5179206266467087,21.793284574309954
1,1.0,0.3,30,0.29272893016168766,0.11321621540888796,0.1795127147527997,0.613238721070878,4.881969791156507
1,1.0,0.3,50,0.2725728893485823,0.1168261030774935,0.15574678627108882,0.5713950005934398,9.62117692313452
1,1.0,0.3,65,0.262870543010209,0.11576499140459096,0.14710555160561806,0.5596121570757548,12.680633900166068
1,1.0,0.3,80,0.2509697416399764,0.12011865035224323,0.13085109128773315,0.5213819420328486,15.745450978016695
1,1.0,0.5,30,0.2898130241623897,0.11385396105219532,0.17595906311019438,0.6071468444827379,4.9766625464826815
1,1.0,0.5,50,0.27981546302001564,0.11490073145245558,0.16491473156756006,0.5893696144868286,8.26167917196351
1,1.0,0.5,65,0.2557453541334876,0.11560049887079919,0.14014485526268838,0.5479859281804942,17.042561127930067
1,1.0,0.5,80,0.24246249040401216,0.11808271817170594,0.12437977223230622,0.5129856252200239,27.517358970460382
1,1.0,0.8,30,0.2924844293034892,0.11598837466912451,0.1764960546343647,0.6034374378652066,5.176034539677585
1,1.0,0.8,50,0.27721089482843014,0.11470792463006033,0.16250297019836982,0.5862070114486131,8.872135932936642
1,1.0,0.8,65,0.2670778712346024,0.11922337951258974,0.14785449172201268,0.5536006822225141,11.11142805792871
1,1.0,0.8,80,0.24908570986266215,0.11821080662015034,0.13087490324251183,0.5254211625174003,14.015453749027138
1,1.0,1.0,30,0.2932296422359131,0.11231957796944514,0.18091006426646794,0.6169569450312248,5.395216343946934
1,1.0,1.0,50,0.26947689095895166,0.11595240502915698,0.15352448592979467,0.5697129923959989,11.407645037032966
1,1.0,1.0,65,0.27085791064718895,0.12090740553476927,0.1499505051124197,0.5536131647553781,12.732464252186206
1,1.0,1.0,80,0.24870088837150045,0.12323322209862811,0.12546766627287234,0.5044922319917621,11.326738571330049
1,1.0,1.5,30,0.29437311217472295,0.11701310055701171,0.17736001161771126,0.6025007185861477,6.145245826485182
1,1.0,1.5,50,0.27681951809314237,0.11301446051167963,0.16380505758146274,0.5917395518561185,10.474328722412311
1,1.0,1.5,65,0.26487465954419215,0.11765935214211073,0.1472153074020814,0.5557923421418113,10.583016963132675
1,1.0,1.5,80,0.24967143975638156,0.12298783159739776,0.1266836081589838,0.5074012801888599,19.20615157352038
1,1.5,0.2,30,0.2950355492044989,0.11170207511832939,0.18333347408616954,0.6213945220516292,5.283304787705327
1,1.5,0.2,50,0.2668481412081133,0.11533353557825195,0.15151460562986135,0.5677933709558651,9.771213995135819
1,1.5,0.2,65,0.2532633956003109,0.11550207301041562,0.1377613225898953,0.5439448612909862,14.37672634636175
1,1.5,0.2,80,0.24606845683511622,0.11919506522398624,0.12687339161112998,0.515602012720161,18.236463742012045
